instance,ants,alpha,beta,rho,mean_conflicts,std_conflicts,mean_time_ms,std_time_ms
queen9_9.col,10,0.5,1.0,0.1,20.8,1.83,4871.14,584.08
queen9_9.col,10,0.5,1.0,0.3,1,1.34,5439.06,307.2
queen9_9.col,10,0.5,1.0,0.5,5.4,2.37,4874.76,679.98
queen9_9.col,10,0.5,2.0,0.1,2,1.55,4610.86,801.1
queen9_9.col,10,0.5,2.0,0.3,0,0.0,3776.37,527.46
queen9_9.col,10,0.5,2.0,0.5,0.2,0.6,3676.42,237.33
queen9_9.col,10,0.5,5.0,0.1,0,0.0,3633.28,201.66
queen9_9.col,10,0.5,5.0,0.3,0,0.0,3676.91,250.27
queen9_9.col,10,0.5,5.0,0.5,0,0.0,3553.89,106.87
queen9_9.col,10,1.0,1.0,0.1,2.6,2.37,3782.49,181.14
queen9_9.col,10,1.0,1.0,0.3,6.2,2.27,3860.87,63.5
queen9_9.col,10,1.0,1.0,0.5,10.4,2.94,3371.2,79.81
queen9_9.col,10,1.0,2.0,0.1,0,0.0,3400.18,28.93
queen9_9.col,10,1.0,2.0,0.3,0.4,0.8,4037.02,212.12
queen9_9.col,10,1.0,2.0,0.5,2,1.26,3508.92,130.22
queen9_9.col,10,1.0,5.0,0.1,0,0.0,3383.97,54.91
queen9_9.col,10,1.0,5.0,0.3,0,0.0,3468.64,261.45
queen9_9.col,10,1.0,5.0,0.5,0,0.0,3514.0,64.45
queen9_9.col,10,2.0,1.0,0.1,6.6,1.8,4115.08,246.43
queen9_9.col,10,2.0,1.0,0.3,15.4,3.69,3377.37,59.1
queen9_9.col,10,2.0,1.0,0.5,20.4,4.45,3380.86,78.73
queen9_9.col,10,2.0,2.0,0.1,0,0.0,3337.51,46.23
queen9_9.col,10,2.0,2.0,0.3,1.2,0.98,3352.08,99.89
queen9_9.col,10,2.0,2.0,0.5,4.6,2.97,3358.03,50.38
queen9_9.col,10,2.0,5.0,0.1,0,0.0,3407.8,47.16
queen9_9.col,10,2.0,5.0,0.3,0,0.0,3383.88,35.85
queen9_9.col,10,2.0,5.0,0.5,0,0.0,3367.85,68.6
queen9_9.col,20,0.5,1.0,0.1,19.4,1.8,6991.1,185.9
queen9_9.col,20,0.5,1.0,0.3,0.4,0.8,6748.02,127.28
queen9_9.col,20,0.5,1.0,0.5,3.2,2.23,7894.27,208.5
queen9_9.col,20,0.5,2.0,0.1,2,1.26,7175.0,134.85
queen9_9.col,20,0.5,2.0,0.3,0,0.0,7559.68,424.31
queen9_9.col,20,0.5,2.0,0.5,0,0.0,7510.1,330.82
queen9_9.col,20,0.5,5.0,0.1,0,0.0,7343.69,130.36
queen9_9.col,20,0.5,5.0,0.3,0,0.0,7329.93,168.11
queen9_9.col,20,0.5,5.0,0.5,0,0.0,7378.55,142.76
queen9_9.col,20,1.0,1.0,0.1,1,1.61,7442.94,273.73
queen9_9.col,20,1.0,1.0,0.3,3.6,1.74,7255.11,106.91
queen9_9.col,20,1.0,1.0,0.5,8.6,3.69,7144.96,157.46
queen9_9.col,20,1.0,2.0,0.1,0,0.0,7744.65,270.76
queen9_9.col,20,1.0,2.0,0.3,0,0.0,11737.89,1841.82
queen9_9.col,20,1.0,2.0,0.5,0.6,0.92,12327.45,1662.52
queen9_9.col,20,1.0,5.0,0.1,0,0.0,10338.75,760.7
queen9_9.col,20,1.0,5.0,0.3,0,0.0,10531.63,577.64
queen9_9.col,20,1.0,5.0,0.5,0,0.0,10145.45,1121.5
queen9_9.col,20,2.0,1.0,0.1,3.2,1.33,7507.82,463.45
queen9_9.col,20,2.0,1.0,0.3,9.8,3.74,7050.38,209.03
queen9_9.col,20,2.0,1.0,0.5,14.6,2.84,6912.7,167.84
queen9_9.col,20,2.0,2.0,0.1,0,0.0,7052.38,437.03
queen9_9.col,20,2.0,2.0,0.3,1,1.0,6942.2,280.57
