instance,ants,alpha,beta,rho,mean_conflicts,std_conflicts,mean_time_ms,std_time_ms
queen9_9.col,10,2.0,5.0,0.1,0,0.0,4525.99,109.28
queen9_9.col,10,1.0,5.0,0.3,0,0.0,4561.92,132.46
queen9_9.col,10,1.0,5.0,0.1,0,0.0,4575.19,128.22
queen9_9.col,10,2.0,5.0,0.3,0,0.0,4596.7,133.49
queen9_9.col,10,2.0,2.0,0.1,0,0.0,4610.07,116.86
queen9_9.col,10,2.0,2.0,0.3,2,0.0,4695.68,242.38
queen9_9.col,10,1.0,2.0,0.1,4.4,0.8,4722.66,294.3
queen9_9.col,10,1.0,2.0,0.3,0.4,0.8,4768.26,267.35
queen9_9.col,30,1.0,5.0,0.3,0,0.0,14661.21,565.3
queen9_9.col,30,1.0,2.0,0.3,0,0.0,14811.95,1153.43
queen9_9.col,30,1.0,2.0,0.1,1.6,1.5,14976.8,1078.77
queen9_9.col,30,1.0,5.0,0.1,0,0.0,15042.64,1366.89
queen9_9.col,30,2.0,2.0,0.1,0,0.0,14952.61,92.78
queen9_9.col,30,2.0,5.0,0.1,0,0.0,15219.38,388.2
queen9_9.col,30,2.0,5.0,0.3,0,0.0,15297.75,283.75
queen9_9.col,30,2.0,2.0,0.3,2,1.26,15465.4,602.31
flat300_20_0.col,10,1.0,2.0,0.1,706.2,3.76,46144.98,1322.84
flat300_20_0.col,10,1.0,2.0,0.3,584.2,4.96,46345.89,1731.08
flat300_20_0.col,10,1.0,5.0,0.3,453.4,15.69,46304.74,1731.22
flat300_20_0.col,10,1.0,5.0,0.1,457,6.84,46834.9,2584.35
flat300_20_0.col,10,2.0,2.0,0.3,646.8,24.25,45370.74,329.13
flat300_20_0.col,10,2.0,2.0,0.1,706.4,4.67,45995.11,1900.74
flat300_20_0.col,10,2.0,5.0,0.3,457.6,6.41,45725.39,660.07
flat300_20_0.col,10,2.0,5.0,0.1,458,3.69,45976.01,1616.86
flat300_20_0.col,30,1.0,2.0,0.1,696.4,4.67,139638.42,4108.38
flat300_20_0.col,30,1.0,5.0,0.1,455,4.77,139665.2,3318.6
flat300_20_0.col,30,1.0,2.0,0.3,567.8,7.47,139982.41,4931.19
flat300_20_0.col,30,1.0,5.0,0.3,430.2,10.19,140330.87,4613.74
flat300_20_0.col,30,2.0,2.0,0.1,694.8,10.26,142292.39,4286.88
flat300_20_0.col,30,2.0,2.0,0.3,621.8,10.55,142027.28,3316.09
flat300_20_0.col,30,2.0,5.0,0.3,446.6,12.01,141924.27,3633.23
flat300_20_0.col,30,2.0,5.0,0.1,451,7.69,142766.99,5211.33
DSJC500.5.col,10,1.0,5.0,0.1,1947.8,16.99,133332.54,759.64
DSJC500.5.col,10,1.0,2.0,0.3,2238.6,45.76,134160.1,2768.8
DSJC500.5.col,10,1.0,5.0,0.3,1928.8,24.6,134558.56,2528.39
DSJC500.5.col,10,1.0,2.0,0.1,2488.2,15.43,136355.29,1868.65
DSJC500.5.col,10,2.0,2.0,0.1,2484,10.6,137831.95,5016.91
DSJC500.5.col,10,2.0,5.0,0.3,1954.8,14.65,138877.13,6249.81
DSJC500.5.col,10,2.0,5.0,0.1,1956.6,15.4,139979.5,7504.74
DSJC500.5.col,10,2.0,2.0,0.3,2363,17.5,141971.84,9068.19
DSJC500.5.col,30,1.0,2.0,0.1,2465.8,9.95,320862.33,50099.23
DSJC500.5.col,30,1.0,2.0,0.3,2194,28.65,321619.96,49933.59
DSJC500.5.col,30,1.0,5.0,0.1,1945.2,10.07,321999.06,51952.06
DSJC500.5.col,30,1.0,5.0,0.3,1886.6,22.21,322010.03,52855.58
DSJC500.5.col,30,2.0,2.0,0.3,2303.2,10.15,321594.22,55149.78
DSJC500.5.col,30,2.0,5.0,0.3,1909.8,24.52,320108.99,52560.25
DSJC500.5.col,30,2.0,2.0,0.1,2473.2,13.17,322860.04,60750.58
DSJC500.5.col,30,2.0,5.0,0.1,1950.8,8.91,323823.46,54344.51
