instance,algorithm,mean_conflicts,std_conflicts
DSJC250.5.col,AntColony,18.566666666666666,3.400642265233431
DSJC250.5.col,HarmonySearch,29.133333333333333,4.987801210908493
DSJC500.5.col,AntColony,39.63333333333333,5.047931179741093
DSJC500.5.col,HarmonySearch,57.8,12.60924674388902
flat1000_60_0.col,AntColony,77.7,10.983216035513399
flat1000_60_0.col,HarmonySearch,111.66666666666667,25.113992985548133
flat300_20_0.col,AntColony,25.733333333333334,3.503036449684201
flat300_20_0.col,HarmonySearch,37.733333333333334,6.9029395704035865
fpsol2.i.1.col,AntColony,39.63333333333333,5.4296969708633185
fpsol2.i.1.col,HarmonySearch,55.233333333333334,10.75329406895084
myciel3.col,AntColony,1.0,0.0
myciel3.col,HarmonySearch,1.0,0.0
queen5_5.col,AntColony,1.3666666666666667,0.4901325178535609
queen5_5.col,HarmonySearch,2.3666666666666667,0.6686751354593718
queen9_9.col,AntColony,5.9,0.9948141396330235
queen9_9.col,HarmonySearch,9.566666666666666,1.7943077299853156
