instance,HMS,HMCR,PAR,mean_conflicts,std_conflicts,mean_time_ms,std_time_ms
queen9_9.col,5,0.7,0.1,72,3.35,25.43,3.53
queen9_9.col,5,0.7,0.3,71.2,4.21,24.86,0.44
queen9_9.col,5,0.7,0.5,70.4,5.64,25.33,0.58
queen9_9.col,5,0.8,0.1,67.6,2.94,24.75,0.5
queen9_9.col,5,0.8,0.3,71.8,4.77,27.68,3.29
queen9_9.col,5,0.8,0.5,72,4.65,26.0,0.83
queen9_9.col,5,0.9,0.1,60.8,4.49,24.72,0.54
queen9_9.col,5,0.9,0.3,68.2,3.52,25.66,0.56
queen9_9.col,5,0.9,0.5,71.6,6.8,26.02,0.72
queen9_9.col,10,0.7,0.1,72.4,4.08,25.4,1.11
queen9_9.col,10,0.7,0.3,71.2,7.0,25.31,1.35
queen9_9.col,10,0.7,0.5,69.2,7.55,27.71,7.61
queen9_9.col,10,0.8,0.1,68.2,7.51,25.24,2.02
queen9_9.col,10,0.8,0.3,71.8,6.29,24.66,0.37
queen9_9.col,10,0.8,0.5,71,5.88,28.4,1.18
queen9_9.col,10,0.9,0.1,69.4,4.48,26.46,1.04
queen9_9.col,10,0.9,0.3,69.8,5.4,27.16,0.84
queen9_9.col,10,0.9,0.5,70.6,4.48,29.02,2.74
queen9_9.col,20,0.7,0.1,75.6,4.54,29.45,0.83
queen9_9.col,20,0.7,0.3,73.4,4.1,27.83,0.91
queen9_9.col,20,0.7,0.5,74.2,4.04,28.67,0.65
queen9_9.col,20,0.8,0.1,73.2,3.82,27.49,0.61
queen9_9.col,20,0.8,0.3,72,5.66,27.94,0.66
queen9_9.col,20,0.8,0.5,72.6,6.2,29.72,0.79
queen9_9.col,20,0.9,0.1,70.6,4.82,28.07,1.38
queen9_9.col,20,0.9,0.3,74,2.97,28.27,1.02
queen9_9.col,20,0.9,0.5,70.8,4.49,28.91,1.0
flat300_20_0.col,5,0.7,0.1,989.7,12.33,233.14,12.02
flat300_20_0.col,5,0.7,0.3,990.3,10.52,235.72,5.42
flat300_20_0.col,5,0.7,0.5,990.2,10.78,257.98,10.32
flat300_20_0.col,5,0.8,0.1,985.4,12.27,239.7,12.21
flat300_20_0.col,5,0.8,0.3,989.7,11.48,250.58,14.78
flat300_20_0.col,5,0.8,0.5,983.6,10.5,257.69,22.18
